Program,Solarize CT, Date of Application,Completed,Electric Utility,County,Municipality, Zip Code,Contractor,System Owner,System Financing,System Size (kW STC),Total System Costs,Total Incentive  Approved, Estimated Annual Production  (kWh) 
PBI,No,4/23/2013,8/1/2013,Eversource Energy,Fairfield,Stamford,06907,SolarCity,Does Not Apply,PPA,2.70,"$13,609.75","$3,539.70"," 3,069 "
PBI,No,4/24/2013,1/9/2014,Eversource Energy,Hartford,Simsbury,06081,Direct Energy Solar,NRG Residential Solar Solutions,Lease,8.00,"$33,600.00","$10,346.18"," 9,110 "
EPBB,Yes,4/25/2013,9/10/2013,Eversource Energy,Tolland,Mansfield,06268,C-TEC Solar,Does Not Apply,Other Homeowner Purchase,7.85,"$56,113.20","$9,980.00"," 8,937 "
EPBB,No,4/25/2013,7/10/2013,Eversource Energy,Middlesex,East Hampton,06424,JD Solar Solutions,Does Not Apply,Other Homeowner Purchase,8.64,"$34,400.00","$10,247.00"," 9,839 "
EPBB,No,4/26/2013,6/6/2013,Eversource Energy,Hartford,Granby,06035,C-TEC Solar,Does Not Apply,Other Homeowner Purchase,12.00,"$42,960.00","$11,501.00"," 13,666 "
PBI,No,4/26/2013,7/11/2013,Eversource Energy,New London,Waterford,06375,RGS Energy,Kilowatt Systems,PPA,5.75,"$26,930.00","$9,966.15"," 6,548 "
EPBB,No,4/26/2013,12/11/2013,Eversource Energy,Fairfield,Stamford,06902,Ross Solar,Does Not Apply,Other Homeowner Purchase,5.70,"$28,113.37","$8,907.00"," 6,485 "
PBI,No,4/26/2013,12/19/2013,Eversource Energy,Litchfield,Litchfield,06759,SolarCity,SolarCity,PPA,9.80,"$49,490.00","$13,433.85"," 11,160 "
PBI,No,4/29/2013,6/25/2013,Eversource Energy,Hartford,Manchester,06040,SolarCity,Does Not Apply,PPA,8.40,"$42,420.00","$15,698.70"," 9,566 "
PBI,No,4/29/2013,8/1/2013,Eversource Energy,Fairfield,Stamford,06905,SolarCity,Does Not Apply,PPA,5.88,"$29,694.00","$6,941.03"," 6,696 "
EPBB,No,4/30/2013,7/30/2013,Eversource Energy,New London,Ledyard,06338,Skyline Solar,Does Not Apply,Other Homeowner Purchase,10.40,"$42,150.00","$11,123.00"," 11,844 "
EPBB,No,4/30/2013,6/25/2013,Eversource Energy,Fairfield,Stamford,06907,Centurion Solar Energy,Does Not Apply,Other Homeowner Purchase,5.52,"$23,460.00","$7,270.00"," 6,286 "
PBI,No,4/30/2013,6/26/2013,Eversource Energy,Hartford,Berlin,06023,Sungevity,Sungevity,Lease,4.90,"$27,097.00","$7,391.70"," 5,580 "
PBI,No,4/30/2013,7/10/2013,Eversource Energy,Litchfield,Canaan,06018,SolarCity,Does Not Apply,PPA,4.90,"$24,745.00","$8,238.15"," 5,580 "
PBI,No,4/30/2013,8/27/2013,Eversource Energy,Hartford,Enfield,06082,SolarCity,Does Not Apply,PPA,7.68,"$39,592.00","$9,728.78"," 8,746 "
EPBB,No,5/1/2013,5/14/2013,Eversource Energy,Tolland,Ellington,06029,Earthlight Technologies,Does Not Apply,Other Homeowner Purchase,8.42,"$32,900.00","$10,074.00"," 9,583 "
PBI,No,5/1/2013,7/30/2013,Eversource Energy,Tolland,Somers,06071,SolarCity,SolarCity,PPA,5.76,"$29,694.00","$8,975.48"," 6,559 "
EPBB,No,5/1/2013,7/2/2013,Eversource Energy,Hartford,Manchester,06040,DCS Energy,Does Not Apply,Other Homeowner Purchase,10.00,"$35,000.00","$10,811.00"," 11,388 "
PBI,No,5/1/2013,6/28/2013,United Illuminating,New Haven,New Haven,06515,SolarCity,Does Not Apply,PPA,4.41,"$22,270.50","$6,854.40"," 5,022 "
PBI,No,5/1/2013,7/23/2013,Eversource Energy,Hartford,Farmington,06032,RGS Energy,Kilowatt Systems,PPA,9.25,"$37,849.50","$11,016.68"," 10,534 "
PBI,No,5/1/2013,9/11/2013,United Illuminating,Fairfield,Bridgeport,06608,SolarCity,Does Not Apply,PPA,3.36,"$16,968.00","$5,695.65"," 3,826 "
EPBB,No,5/1/2013,1/31/2014,Eversource Energy,Fairfield,New Fairfield,06812,Ross Solar,Does Not Apply,Other Homeowner Purchase,4.16,"$20,384.00","$6,439.00"," 4,737 "
EPBB,No,5/2/2013,8/19/2013,Eversource Energy,Middlesex,Chester,06412,Aegis Electrical Systems,Does Not Apply,Other Homeowner Purchase,8.00,"$31,200.00","$9,949.00"," 9,110 "
PBI,No,5/2/2013,7/10/2013,Eversource Energy,Hartford,Windsor Locks,06096,SolarCity,SolarCity,PPA,3.92,"$19,796.00","$5,418.45"," 4,464 "
PBI,No,5/6/2013,7/19/2013,Eversource Energy,Hartford,Glastonbury,06073,SolarCity,Does Not Apply,PPA,5.39,"$27,219.50","$8,448.98"," 6,138 "
PBI,No,5/6/2013,7/8/2013,Eversource Energy,Middlesex,Middletown,06457,SolarCity,Does Not Apply,PPA,4.68,"$22,270.50","$7,643.48"," 5,330 "
