"Town","FIPS","Year","Measure Type","Variable","Value"
"Barkhamsted","0900502760","2007-2011","Number","Median Home Value",283100
"Barkhamsted","0900502760","2007-2011","Number","Margins of Error",21820
"Barkhamsted","0900502760","2007-2011","Ratio to State Median","Median Home Value",0.97
"Barkhamsted","0900502760","2007-2011","Ratio to State Median","Margins of Error",0.07
"Barkhamsted","0900502760","2008-2012","Number","Median Home Value",274500
"Barkhamsted","0900502760","2008-2012","Number","Margins of Error",15231
"Barkhamsted","0900502760","2008-2012","Ratio to State Median","Median Home Value",0.96
"Barkhamsted","0900502760","2008-2012","Ratio to State Median","Margins of Error",0.05
"Barkhamsted","0900502760","2009-2013","Number","Median Home Value",257800
"Barkhamsted","0900502760","2009-2013","Number","Margins of Error",16936
"Barkhamsted","0900502760","2009-2013","Ratio to State Median","Median Home Value",0.92
"Barkhamsted","0900502760","2009-2013","Ratio to State Median","Margins of Error",0.06
"Barkhamsted","0900502760","2010-2014","Number","Median Home Value",255800
"Barkhamsted","0900502760","2010-2014","Number","Margins of Error",20748
"Barkhamsted","0900502760","2010-2014","Ratio to State Median","Median Home Value",0.93
"Barkhamsted","0900502760","2010-2014","Ratio to State Median","Margins of Error",0.08
"Barkhamsted","0900502760","2011-2015","Number","Median Home Value",251500
"Barkhamsted","0900502760","2011-2015","Number","Margins of Error",20553
"Barkhamsted","0900502760","2011-2015","Ratio to State Median","Median Home Value",0.93
"Barkhamsted","0900502760","2011-2015","Ratio to State Median","Margins of Error",0.08
"Barkhamsted","0900502760","2012-2016","Number","Median Home Value",251400
"Barkhamsted","0900502760","2012-2016","Number","Margins of Error",19933
"Barkhamsted","0900502760","2012-2016","Ratio to State Median","Median Home Value",0.93
"Barkhamsted","0900502760","2012-2016","Ratio to State Median","Margins of Error",0.07
"Barkhamsted","0900502760","2013-2017","Number","Median Home Value",258500
"Barkhamsted","0900502760","2013-2017","Number","Margins of Error",17070
"Barkhamsted","0900502760","2013-2017","Ratio to State Median","Median Home Value",0.96
"Barkhamsted","0900502760","2013-2017","Ratio to State Median","Margins of Error",0.06
"Beacon Falls","0900903250","2006-2010","Number","Median Home Value",308800
"Beacon Falls","0900903250","2006-2010","Number","Margins of Error",17779
"Beacon Falls","0900903250","2006-2010","Ratio to State Median","Median Home Value",1.04
"Beacon Falls","0900903250","2006-2010","Ratio to State Median","Margins of Error",0.06
"Beacon Falls","0900903250","2007-2011","Number","Median Home Value",301900
"Beacon Falls","0900903250","2007-2011","Number","Margins of Error",20872
"Beacon Falls","0900903250","2007-2011","Ratio to State Median","Median Home Value",1.03
"Beacon Falls","0900903250","2007-2011","Ratio to State Median","Margins of Error",0.07
"Beacon Falls","0900903250","2008-2012","Number","Median Home Value",270100
"Beacon Falls","0900903250","2008-2012","Number","Margins of Error",21666
"Beacon Falls","0900903250","2008-2012","Ratio to State Median","Median Home Value",0.94
"Beacon Falls","0900903250","2008-2012","Ratio to State Median","Margins of Error",0.08
"Beacon Falls","0900903250","2009-2013","Number","Median Home Value",266600
"Beacon Falls","0900903250","2009-2013","Number","Margins of Error",18073
"Beacon Falls","0900903250","2009-2013","Ratio to State Median","Median Home Value",0.96
"Beacon Falls","0900903250","2009-2013","Ratio to State Median","Margins of Error",0.06
"Beacon Falls","0900903250","2010-2014","Number","Median Home Value",255900
"Beacon Falls","0900903250","2010-2014","Number","Margins of Error",18920
"Beacon Falls","0900903250","2010-2014","Ratio to State Median","Median Home Value",0.93
"Beacon Falls","0900903250","2010-2014","Ratio to State Median","Margins of Error",0.07
"Beacon Falls","0900903250","2011-2015","Number","Median Home Value",233000
"Beacon Falls","0900903250","2011-2015","Number","Margins of Error",17716
"Beacon Falls","0900903250","2011-2015","Ratio to State Median","Median Home Value",0.86
"Beacon Falls","0900903250","2011-2015","Ratio to State Median","Margins of Error",0.07
"Beacon Falls","0900903250","2012-2016","Number","Median Home Value",231800
"Beacon Falls","0900903250","2012-2016","Number","Margins of Error",19691
"Beacon Falls","0900903250","2012-2016","Ratio to State Median","Median Home Value",0.86
"Beacon Falls","0900903250","2012-2016","Ratio to State Median","Margins of Error",0.07
"Beacon Falls","0900903250","2013-2017","Number","Median Home Value",235100
"Beacon Falls","0900903250","2013-2017","Number","Margins of Error",22089
"Beacon Falls","0900903250","2013-2017","Ratio to State Median","Median Home Value",0.87
"Beacon Falls","0900903250","2013-2017","Ratio to State Median","Margins of Error",0.08
"Berlin","0900304300","2006-2010","Number","Median Home Value",297300
"Berlin","0900304300","2006-2010","Number","Margins of Error",9109
"Berlin","0900304300","2006-2010","Ratio to State Median","Median Home Value",1
"Berlin","0900304300","2006-2010","Ratio to State Median","Margins of Error",0.03
"Berlin","0900304300","2007-2011","Number","Median Home Value",294600
"Berlin","0900304300","2007-2011","Number","Margins of Error",6374
"Berlin","0900304300","2007-2011","Ratio to State Median","Median Home Value",1.01
"Berlin","0900304300","2007-2011","Ratio to State Median","Margins of Error",0.02
"Berlin","0900304300","2008-2012","Number","Median Home Value",297100
"Berlin","0900304300","2008-2012","Number","Margins of Error",8421
"Berlin","0900304300","2008-2012","Ratio to State Median","Median Home Value",1.04
"Berlin","0900304300","2008-2012","Ratio to State Median","Margins of Error",0.03
"Berlin","0900304300","2009-2013","Number","Median Home Value",291700
"Berlin","0900304300","2009-2013","Number","Margins of Error",7178
"Berlin","0900304300","2009-2013","Ratio to State Median","Median Home Value",1.05
"Berlin","0900304300","2009-2013","Ratio to State Median","Margins of Error",0.03
"Berlin","0900304300","2010-2014","Number","Median Home Value",286800
"Berlin","0900304300","2010-2014","Number","Margins of Error",6756
"Berlin","0900304300","2010-2014","Ratio to State Median","Median Home Value",1.04
"Berlin","0900304300","2010-2014","Ratio to State Median","Margins of Error",0.02
"Berlin","0900304300","2011-2015","Number","Median Home Value",287600
"Berlin","0900304300","2011-2015","Number","Margins of Error",8127
"Berlin","0900304300","2011-2015","Ratio to State Median","Median Home Value",1.06
"Berlin","0900304300","2011-2015","Ratio to State Median","Margins of Error",0.03
"Berlin","0900304300","2012-2016","Number","Median Home Value",288000
"Berlin","0900304300","2012-2016","Number","Margins of Error",7338
"Berlin","0900304300","2012-2016","Ratio to State Median","Median Home Value",1.07
"Berlin","0900304300","2012-2016","Ratio to State Median","Margins of Error",0.03
"Berlin","0900304300","2013-2017","Number","Median Home Value",281100
"Berlin","0900304300","2013-2017","Number","Margins of Error",6704
"Berlin","0900304300","2013-2017","Ratio to State Median","Median Home Value",1.04
"Berlin","0900304300","2013-2017","Ratio to State Median","Margins of Error",0.03
"Bethany","0900904580","2006-2010","Number","Median Home Value",422500
"Bethany","0900904580","2006-2010","Number","Margins of Error",27165
"Bethany","0900904580","2006-2010","Ratio to State Median","Median Home Value",1.42
"Bethany","0900904580","2006-2010","Ratio to State Median","Margins of Error",0.09
"Bethany","0900904580","2007-2011","Number","Median Home Value",398100
"Bethany","0900904580","2007-2011","Number","Margins of Error",25747
"Bethany","0900904580","2007-2011","Ratio to State Median","Median Home Value",1.36
"Bethany","0900904580","2007-2011","Ratio to State Median","Margins of Error",0.09
"Bethany","0900904580","2008-2012","Number","Median Home Value",380800
"Bethany","0900904580","2008-2012","Number","Margins of Error",21002
"Bethany","0900904580","2008-2012","Ratio to State Median","Median Home Value",1.33
"Bethany","0900904580","2008-2012","Ratio to State Median","Margins of Error",0.07
"Bethany","0900904580","2009-2013","Number","Median Home Value",370400
"Bethany","0900904580","2009-2013","Number","Margins of Error",23676
"Bethany","0900904580","2009-2013","Ratio to State Median","Median Home Value",1.33
"Bethany","0900904580","2009-2013","Ratio to State Median","Margins of Error",0.08
"Bethany","0900904580","2010-2014","Number","Median Home Value",348300
"Bethany","0900904580","2010-2014","Number","Margins of Error",18555
"Bethany","0900904580","2010-2014","Ratio to State Median","Median Home Value",1.27
"Bethany","0900904580","2010-2014","Ratio to State Median","Margins of Error",0.07
"Bethany","0900904580","2011-2015","Number","Median Home Value",340900
"Bethany","0900904580","2011-2015","Number","Margins of Error",17925
"Bethany","0900904580","2011-2015","Ratio to State Median","Median Home Value",1.26
"Bethany","0900904580","2011-2015","Ratio to State Median","Margins of Error",0.07
"Bethany","0900904580","2012-2016","Number","Median Home Value",343500
"Bethany","0900904580","2012-2016","Number","Margins of Error",21985
"Bethany","0900904580","2012-2016","Ratio to State Median","Median Home Value",1.28
"Bethany","0900904580","2012-2016","Ratio to State Median","Margins of Error",0.08
