station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BDL,1/21/2019 18:50,-72.6825,41.9381,M,M,M,340,11,M,29.94,M,10,M,FEW,BKN,M,M,3999,7000,M,M,M,M,M,M,M,M,M,M,KBDL 211850Z AUTO 34011KT 10SM FEW039 BKN070 M17/M24 A2994 RMK T11701240 MADISHF
BDL,1/21/2019 18:51,-72.6825,41.9381,1.9,-11.9,51.49,340,12,0,29.93,1014.1,10,18,FEW,BKN,M,M,4000,7000,M,M,M,M,M,M,M,M,M,-16.31,KBDL 211851Z 34012G18KT 10SM FEW040 BKN070 M17/M24 A2993 RMK AO2 SLP141 T11671244 $
BDL,1/21/2019 18:55,-72.6825,41.9381,M,M,M,330,13,M,29.94,M,10,M,OVC,M,M,M,7000,M,M,M,M,M,M,M,M,M,M,M,KBDL 211855Z AUTO 33013KT 10SM OVC070 M17/M24 A2994 RMK T11701240 MADISHF
BDL,1/21/2019 19:00,-72.6825,41.9381,M,M,M,320,12,M,29.94,M,10,M,OVC,M,M,M,7000,M,M,M,M,M,M,M,M,M,M,M,KBDL 211900Z AUTO 32012KT 10SM OVC070 M17/M25 A2994 RMK T11701250 MADISHF
BDL,1/21/2019 19:05,-72.6825,41.9381,M,M,M,320,15,M,29.94,M,10,M,OVC,M,M,M,7000,M,M,M,M,M,M,M,M,M,M,M,KBDL 211905Z AUTO 32015KT 10SM OVC070 M17/M24 A2994 RMK T11701240 MADISHF
BDL,1/21/2019 19:10,-72.6825,41.9381,M,M,M,320,13,M,29.94,M,10,M,OVC,M,M,M,7000,M,M,M,M,M,M,M,M,M,M,M,KBDL 211910Z AUTO 32013KT 10SM OVC070 M17/M24 A2994 RMK T11701240 MADISHF
BDL,1/21/2019 19:15,-72.6825,41.9381,M,M,M,M,14,M,29.94,M,10,M,OVC,M,M,M,7500,M,M,M,M,M,M,M,M,M,M,M,KBDL 211915Z AUTO ///14KT 10SM OVC075 M17/M24 A2994 RMK T11701240 MADISHF
BDL,1/21/2019 19:20,-72.6825,41.9381,M,M,M,320,13,M,29.94,M,10,M,BKN,OVC,M,M,7000,7999,M,M,M,M,M,M,M,M,M,M,KBDL 211920Z AUTO 32013KT 10SM BKN070 OVC079 M17/M24 A2994 RMK T11701240 MADISHF
BDL,1/21/2019 19:25,-72.6825,41.9381,M,M,M,M,13,M,29.95,M,10,M,OVC,M,M,M,7500,M,M,M,M,M,M,M,M,M,M,M,KBDL 211925Z AUTO ///13KT 10SM OVC075 M17/M24 A2995 RMK T11701240 MADISHF
BDL,1/21/2019 19:30,-72.6825,41.9381,M,M,M,320,9,M,29.95,M,10,M,OVC,M,M,M,7999,M,M,M,M,M,M,M,M,M,M,M,KBDL 211930Z AUTO 32009KT 10SM OVC079 M17/M24 A2995 RMK T11701240 MADISHF
BDL,1/21/2019 19:35,-72.6825,41.9381,M,M,M,330,10,M,29.95,M,10,M,OVC,M,M,M,7999,M,M,M,M,M,M,M,M,M,M,M,KBDL 211935Z AUTO 33010KT 10SM OVC079 M17/M24 A2995 RMK T11701240 MADISHF
BDL,1/21/2019 19:40,-72.6825,41.9381,M,M,M,330,11,M,29.96,M,10,M,OVC,M,M,M,7999,M,M,M,M,M,M,M,M,M,M,M,KBDL 211940Z AUTO 33011KT 10SM OVC079 M17/M24 A2995 RMK T11701240 MADISHF
BDL,1/21/2019 19:45,-72.6825,41.9381,M,M,M,330,12,M,29.96,M,10,M,OVC,M,M,M,7999,M,M,M,M,M,M,M,M,M,M,M,KBDL 211945Z AUTO 33012KT 10SM OVC079 M17/M24 A2995 RMK T11701240 MADISHF
BDL,1/21/2019 19:50,-72.6825,41.9381,M,M,M,M,17,M,29.96,M,10,M,FEW,BKN,M,M,3999,7999,M,M,M,M,M,M,M,M,M,M,KBDL 211950Z AUTO ///17KT 10SM FEW039 BKN079 M16/M24 A2995 RMK T11601240 MADISHF
BDL,1/21/2019 19:51,-72.6825,41.9381,3,-11.9,48.93,320,17,0,29.96,1015,10,23,FEW,BKN,BKN,M,4000,8000,20000,M,M,M,M,M,M,M,M,-17.92,KBDL 211951Z 32017G23KT 10SM FEW040 BKN080 BKN200 M16/M24 A2996 RMK AO2 SLP150 T11611244
BDL,1/21/2019 19:55,-72.6825,41.9381,M,M,M,M,17,M,29.96,M,10,M,OVC,M,M,M,8500,M,M,M,M,M,M,M,M,M,M,M,KBDL 211955Z AUTO ///17KT 10SM OVC085 M16/M24 A2995 RMK T11601240 MADISHF
BDL,1/21/2019 20:00,-72.6825,41.9381,M,M,M,310,13,M,29.97,M,10,M,SCT,OVC,M,M,7500,9500,M,M,M,M,M,M,M,M,M,M,KBDL 212000Z AUTO 31013KT 10SM SCT075 OVC095 M16/M24 A2996 RMK T11601240 MADISHF
BDL,1/21/2019 20:05,-72.6825,41.9381,M,M,M,330,12,M,29.97,M,10,19,OVC,M,M,M,9500,M,M,M,M,M,M,M,M,M,M,M,KBDL 212005Z AUTO 33012G19KT 10SM OVC095 M16/M24 A2996 RMK T11601240 MADISHF
BDL,1/21/2019 20:10,-72.6825,41.9381,M,M,M,330,11,M,29.97,M,10,M,OVC,M,M,M,10000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212010Z AUTO 33011KT 10SM OVC100 M16/M24 A2996 RMK T11601240 MADISHF
BDL,1/21/2019 20:15,-72.6825,41.9381,M,M,M,320,12,M,29.97,M,10,17,OVC,M,M,M,10000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212015Z AUTO 32012G17KT 10SM OVC100 M16/M24 A2996 RMK T11601240 MADISHF
BDL,1/21/2019 20:20,-72.6825,41.9381,M,M,M,310,14,M,29.97,M,10,M,OVC,M,M,M,10000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212020Z AUTO 31014KT 10SM OVC100 M16/M24 A2996 RMK T11601240 MADISHF
BDL,1/21/2019 20:25,-72.6825,41.9381,M,M,M,M,20,M,29.97,M,10,M,OVC,M,M,M,10000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212025Z AUTO ///20KT 10SM OVC100 M16/M24 A2996 RMK T11601240 MADISHF
BDL,1/21/2019 20:30,-72.6825,41.9381,M,M,M,M,18,M,29.97,M,10,M,OVC,M,M,M,10000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212030Z AUTO ///18KT 10SM OVC100 M16/M24 A2996 RMK T11601240 MADISHF
BDL,1/21/2019 20:35,-72.6825,41.9381,M,M,M,320,19,M,29.97,M,10,M,OVC,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212035Z AUTO 32019KT 10SM OVC110 M16/M24 A2996 RMK T11601240 MADISHF
BDL,1/21/2019 20:40,-72.6825,41.9381,M,M,M,320,19,M,29.97,M,10,M,OVC,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212040Z AUTO 32019KT 10SM OVC110 M16/M24 A2996 RMK T11601240 MADISHF
BDL,1/21/2019 20:45,-72.6825,41.9381,M,M,M,M,13,M,29.98,M,10,18,BKN,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212045Z AUTO ///13G18KT 10SM BKN110 M16/M24 A2997 RMK T11601240 MADISHF
BDL,1/21/2019 20:50,-72.6825,41.9381,M,M,M,320,16,M,29.98,M,10,M,BKN,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212050Z AUTO 32016KT 10SM BKN110 M16/M24 A2997 RMK T11601240 MADISHF
BDL,1/21/2019 20:51,-72.6825,41.9381,3.9,-11,49.08,320,18,0,29.98,1015.6,10,31,BKN,BKN,BKN,M,11000,20000,22000,M,M,M,M,M,31,320,1/21/2019 20:51,-17.24,KBDL 212051Z 32018G31KT 10SM BKN110 BKN200 BKN220 M16/M24 A2998 RMK AO2 PK WND 32031/2051 SLP156 T11561239 53019
BDL,1/21/2019 20:55,-72.6825,41.9381,M,M,M,M,18,M,29.98,M,10,M,BKN,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212055Z AUTO ///18KT 10SM BKN110 M16/M23 A2997 RMK T11601230 MADISHF
BDL,1/21/2019 21:00,-72.6825,41.9381,M,M,M,M,16,M,29.99,M,10,M,BKN,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212100Z AUTO ///16KT 10SM BKN110 M16/M23 A2998 RMK T11601230 MADISHF
BDL,1/21/2019 21:05,-72.6825,41.9381,M,M,M,M,16,M,29.99,M,10,23,BKN,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212105Z AUTO ///16G23KT 10SM BKN110 M16/M24 A2998 RMK T11601240 MADISHF
BDL,1/21/2019 21:10,-72.6825,41.9381,M,M,M,310,17,M,29.99,M,10,M,BKN,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212110Z AUTO 31017KT 10SM BKN110 M16/M23 A2998 RMK T11601230 MADISHF
BDL,1/21/2019 21:15,-72.6825,41.9381,M,M,M,M,19,M,29.99,M,10,28,OVC,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212115Z AUTO ///19G28KT 10SM OVC110 M16/M23 A2998 RMK T11601230 MADISHF
BDL,1/21/2019 21:20,-72.6825,41.9381,M,M,M,M,15,M,29.99,M,10,M,OVC,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212120Z AUTO ///15KT 10SM OVC110 M16/M23 A2998 RMK T11601230 MADISHF
